"Population","variable","value","maxVals","minVals","numVariable"
"focus","KLRG1",369,NA,NA,2.53650365036504
"focus","KLRG1",339,NA,NA,2.53660366036604
"focus","KLRG1",320,NA,NA,2.53670367036704
"focus","KLRG1",335,NA,NA,2.53680368036804
"focus","KLRG1",321,NA,NA,2.53690369036904
"focus","KLRG1",358,NA,NA,2.53700370037004
"focus","KLRG1",347,NA,NA,2.53710371037104
"focus","KLRG1",355,NA,NA,2.53720372037204
"focus","KLRG1",314,NA,NA,2.53730373037304
"focus","KLRG1",308,NA,NA,2.53740374037404
"focus","KLRG1",338,NA,NA,2.53750375037504
"focus","KLRG1",332,NA,NA,2.53760376037604
"focus","KLRG1",324,NA,NA,2.53770377037704
"focus","KLRG1",316,NA,NA,2.53780378037804
"focus","KLRG1",377,NA,NA,2.53790379037904
"focus","KLRG1",301,NA,NA,2.53800380038004
"focus","KLRG1",309,NA,NA,2.53810381038104
"focus","KLRG1",293,NA,NA,2.53820382038204
"focus","KLRG1",334,NA,NA,2.53830383038304
"focus","KLRG1",404,NA,NA,2.53840384038404
"focus","KLRG1",299,NA,NA,2.53850385038504
"focus","KLRG1",322,NA,NA,2.53860386038604
"focus","KLRG1",363,NA,NA,2.53870387038704
"focus","KLRG1",297,NA,NA,2.53880388038804
"focus","KLRG1",355,NA,NA,2.53890389038904
"focus","KLRG1",297,NA,NA,2.53900390039004
"focus","KLRG1",218,NA,NA,2.53910391039104
"focus","KLRG1",338,NA,NA,2.53920392039204
"focus","KLRG1",325,NA,NA,2.53930393039304
"focus","KLRG1",324,NA,NA,2.53940394039404
"focus","KLRG1",327,NA,NA,2.53950395039504
"focus","KLRG1",290,NA,NA,2.53960396039604
"focus","KLRG1",299,NA,NA,2.53970397039704
"focus","KLRG1",321,NA,NA,2.53980398039804
"focus","KLRG1",300,NA,NA,2.53990399039904
"focus","KLRG1",314,NA,NA,2.54000400040004
"focus","KLRG1",295,NA,NA,2.54010401040104
"focus","KLRG1",327,NA,NA,2.54020402040204
"focus","KLRG1",309,NA,NA,2.54030403040304
"focus","KLRG1",357,NA,NA,2.54040404040404
"focus","KLRG1",279,NA,NA,2.54050405040504
"focus","KLRG1",363,NA,NA,2.54060406040604
"focus","KLRG1",365,NA,NA,2.54070407040704
"focus","KLRG1",318,NA,NA,2.54080408040804
"focus","KLRG1",293,NA,NA,2.54090409040904
"focus","KLRG1",319,NA,NA,2.54100410041004
"focus","KLRG1",325,NA,NA,2.54110411041104
"focus","KLRG1",301,NA,NA,2.54120412041204
"focus","KLRG1",338,NA,NA,2.54130413041304
"focus","KLRG1",324,NA,NA,2.54140414041404
"focus","KLRG1",358,NA,NA,2.54150415041504
"focus","KLRG1",311,NA,NA,2.54160416041604
"focus","KLRG1",316,NA,NA,2.54170417041704
"focus","KLRG1",304,NA,NA,2.54180418041804
"focus","KLRG1",294,NA,NA,2.54190419041904
"focus","KLRG1",341,NA,NA,2.54200420042004
"focus","KLRG1",339,NA,NA,2.54210421042104
"focus","KLRG1",296,NA,NA,2.54220422042204
"focus","KLRG1",305,NA,NA,2.54230423042304
"focus","KLRG1",339,NA,NA,2.54240424042404
"focus","KLRG1",348,NA,NA,2.54250425042504
"focus","KLRG1",369,NA,NA,2.54260426042604
"focus","KLRG1",295,NA,NA,2.54270427042704
"focus","KLRG1",336,NA,NA,2.54280428042804
"focus","KLRG1",297,NA,NA,2.54290429042904
"focus","KLRG1",307,NA,NA,2.54300430043004
"focus","KLRG1",286,NA,NA,2.54310431043104
"focus","KLRG1",322,NA,NA,2.54320432043204
"focus","KLRG1",305,NA,NA,2.54330433043304
"focus","KLRG1",305,NA,NA,2.54340434043404
"focus","KLRG1",285,NA,NA,2.54350435043504
"focus","KLRG1",287,NA,NA,2.54360436043604
"focus","KLRG1",356,NA,NA,2.54370437043704
"focus","KLRG1",340,NA,NA,2.54380438043804
"focus","KLRG1",309,NA,NA,2.54390439043904
"focus","KLRG1",317,NA,NA,2.54400440044004
"focus","KLRG1",360,NA,NA,2.54410441044104
"focus","KLRG1",343,NA,NA,2.54420442044204
"focus","KLRG1",257,NA,NA,2.54430443044304
"focus","KLRG1",310,NA,NA,2.54440444044404
"focus","KLRG1",312,NA,NA,2.54450445044504
"focus","KLRG1",358,NA,NA,2.54460446044604
"focus","KLRG1",319,NA,NA,2.54470447044704
"focus","KLRG1",309,NA,NA,2.54480448044804
"focus","KLRG1",303,NA,NA,2.54490449044904
"focus","KLRG1",298,NA,NA,2.54500450045005
"focus","KLRG1",284,NA,NA,2.54510451045105
"focus","KLRG1",305,NA,NA,2.54520452045205
"focus","KLRG1",291,NA,NA,2.54530453045305
"focus","KLRG1",309,NA,NA,2.54540454045405
"focus","KLRG1",304,NA,NA,2.54550455045505
"focus","KLRG1",313,NA,NA,2.54560456045605
"focus","KLRG1",303,NA,NA,2.54570457045705
"focus","KLRG1",311,NA,NA,2.54580458045805
"focus","KLRG1",329,NA,NA,2.54590459045905
"focus","KLRG1",332,NA,NA,2.54600460046005
"focus","KLRG1",326,NA,NA,2.54610461046105
"focus","KLRG1",299,NA,NA,2.54620462046205
"focus","KLRG1",329,NA,NA,2.54630463046305
"focus","KLRG1",308,NA,NA,2.54640464046405
"focus","KLRG1",310,NA,NA,2.54650465046505
"focus","KLRG1",280,NA,NA,2.54660466046605
"focus","KLRG1",285,NA,NA,2.54670467046705
"focus","KLRG1",327,NA,NA,2.54680468046805
"focus","KLRG1",292,NA,NA,2.54690469046905
"focus","KLRG1",286,NA,NA,2.54700470047005
"focus","KLRG1",277,NA,NA,2.54710471047105
"focus","KLRG1",285,NA,NA,2.54720472047205
