"","logFC","logCPM","F","PValue","Group"
"IRF1",-0.353689862263565,9.08092840124699,2.23992278308892,0.146759969122416,"None"
"SEPTIN6",-0.529812503064412,8.57113078447244,15.4574156002762,0.000439510588850576,"Down"
"NDUFA1",-0.162354127579449,8.78250730073275,3.26101992667867,0.180783690399637,"None"
"PPDPF",0.211944255677774,9.52658928276463,2.50683439325434,0.12360304105615,"None"
"SNRPD2",-0.331740555142788,9.16365247947265,7.22405352363587,0.0114473501400857,"None"
"VASP",0.113716869166282,8.18750943093373,1.00231904990154,0.324471909624774,"None"
"RALY",0.02546616336352,8.58704840675515,0.0661309327307235,0.79874858809999,"None"
"CAPNS1",0.372446635355165,8.75044735683772,7.89231615445798,0.00850492634193444,"None"
"HCST",-0.172629369349035,10.7028547785437,2.89738418266538,0.0986948817666437,"None"
"COX6B1",-0.0919343579500328,9.1111528066984,1.09723720261741,0.418302327440568,"None"
"PRDX5",0.0119014302486169,8.47703325438567,0.00966899326360688,0.922300104709547,"None"
"DNAJC8",-0.0390610305577527,8.19833283714243,0.18274307106899,0.941450743136189,"None"
"MAP2K2",-0.101388601932075,8.30953919009653,0.960151989196338,0.346983109964843,"None"
"CANX",-0.0849840580713382,8.42142866835285,0.761675115127411,0.453771299279365,"None"
"COX7C",-0.307646951075698,9.58699173605735,13.0443131727415,0.00105671329581014,"Down"
"RAP1B",0.154808967505235,10.0716980827766,3.47478800959196,0.0717692167371371,"None"
"HP1BP3",-0.0235634808940044,8.47440025660749,0.0495946253072854,0.825225463827749,"None"
"KLF2",0.113752611146553,10.7363860165272,0.915793722678384,0.345996228675034,"None"
"UQCR11",-0.00849695244748534,9.3529173737058,0.0137566220554448,0.907385094512242,"None"
"PTPN12",-0.0630525256988468,8.62663295437074,0.222331202069637,0.640558685004074,"None"
"ZFP36",0.0110360978430641,10.4509090879442,0.000903906632064647,0.976268683451798,"None"
"TPST2",0.0403828930317874,8.96963349032011,0.165361873189058,0.84295019088458,"None"
"RAC2",0.0327974895352271,10.8554224738645,0.185226143863015,0.669886076934641,"None"
"SLC44A2",0.278701376906989,7.96989587252256,9.66911005326478,0.0110311182560322,"None"
"NEDD8",0.087679854142167,8.37422281621566,0.639882205877755,0.429817960851409,"None"
"ABHD17A",0.324642233160305,10.1914093951478,11.2274988230176,0.00212548470124781,"Up"
"BST2",-0.0820368180819773,8.5212961361522,0.581346266836808,0.709072678495405,"None"
"ACTN4",-0.0121350661236924,9.14056957982092,0.00976057164092719,0.921934238546326,"None"
"ARPC1B",-0.0108044062486374,9.69320417452029,0.0112325522918353,0.916275529509531,"None"
"JUND",0.0444653848311034,9.89358986139525,0.112278304382627,0.739825153758842,"None"
"LSP1",0.125459773161194,10.3090759703336,2.64205097709233,0.114155781807087,"None"
"GMFG",-0.193129371447789,9.19614732151184,6.4071457253369,0.0923572226094909,"None"
"EIF3G",-0.523688455240388,9.43145337500786,9.30476135657403,0.00484449801119955,"None"
"SYNE1",0.139699446613461,8.88716626918111,2.22254612295345,0.152638485624451,"None"
"RBM39",0.0145646461580615,9.14141565746976,0.0114032913335755,0.915647647586274,"None"
"COX4I1",-0.132848236980817,10.2262469598769,2.30378499764089,0.139154065185555,"None"
"SH3BGRL",0.045576380081934,8.32283702633037,0.207421719951851,0.65195782521974,"None"
"COX7B",-0.135202032602839,8.15755122031962,0.881194115872894,0.355141876774421,"None"
"CAP1",0.218887395070696,9.36480541974143,5.43348855259031,0.0264055740549108,"None"
"UBE2D2",0.10069329512848,8.59515158714519,1.16201248320314,0.289334153953302,"None"
"RAN",-0.333085969156774,8.52579482822697,11.1449993946212,0.00219590941723066,"Down"
"PNISR",-0.117109985794422,8.3166492379453,0.978549833340048,0.342288358891739,"None"
"SEC61G",0.0438893727777741,8.37943155861444,0.15744597231863,0.794334639752133,"None"
"H3-3B",-0.235283661081054,11.1943863361509,7.97202277325619,0.00821274769773447,"None"
"EIF5A",-0.461243062050737,8.5478255482702,6.77180326798862,0.0141474548416563,"None"
"ALOX5AP",0.0175972869291671,8.94582394004441,0.0184245329377809,0.89290347595059,"None"
"TPT1",-0.504501308732224,12.4074431765872,15.4113712589222,0.000456409475634602,"Down"
"SRRM1",-0.20518583054908,8.64049737654605,3.07934957386197,0.0891350758343802,"None"
"BTG1",-0.29883763063013,10.348740365603,2.76102315533497,0.108218555691398,"None"
"YWHAQ",0.0166976405591753,8.54024966807823,0.0193445258102443,0.890279532817786,"None"
"LDHA",-0.0510361955082295,8.5716361746905,0.242688891792569,0.625728918670833,"None"
"KLRD1",-0.0372972988696008,10.4669077557085,0.12647037142956,0.724519603570091,"None"
"TMEM258",0.0656503210562765,8.46891830588144,0.606527004708845,0.441980797108044,"None"
"ARGLU1",-0.00246859311313836,8.6799857645147,0.00050268682160261,1,"None"
"ETS1",-0.307553413962289,9.78034608162042,4.57884768589169,0.0404561697704543,"None"
"OSTF1",0.102244559664886,8.79749031266055,0.785413351867305,0.382288488564337,"None"
"ANXA1",0.234564676002962,9.63626782693522,4.33037692753271,0.0457576652149923,"None"
"SRPK2",0.182910014880789,8.19061023664662,2.86904660784261,0.113836550027821,"None"
"TES",-0.0221374622443274,8.31734869348646,0.0320754013090414,0.859023287856152,"None"
"CD63",-0.0430524105071002,9.22528540819216,0.14445564751455,0.706472934028816,"None"
"HNRNPA1",-0.391921680706913,10.1905431328067,19.9511494894574,9.77209528840395e-05,"Down"
"CD164",0.0299664133315145,8.65363169826211,0.110361298767215,0.89934550215761,"None"
"COX5B",-0.0810264328326458,8.82280905874251,1.03698164956863,0.392511630745175,"None"
"ITM2B",0.135556772056089,10.1701878419372,2.94605371295345,0.0960280712171059,"None"
"LCP1",0.0862191840646723,10.2157987112762,0.965989075301461,0.333262831062838,"None"
"RAC1",0.0423250790625268,8.52533366221605,0.24100570784679,0.66414395049608,"None"
"AOAH",-0.395660454687785,9.38599098890307,6.93155335467436,0.0131531218850583,"None"
"MYO1G",0.460034735362193,8.42371627412828,12.2244594847645,0.00144215141676423,"Up"
"LIMD2",-0.342321931402608,9.83419753277017,9.7480120047601,0.00386112642514351,"None"
"GYPC",-0.193876434929711,8.4824127381801,2.94540848143431,0.0960628836488372,"None"
"C9orf78",-0.0724692331469571,8.24287649534289,0.288344278801283,0.595102446647799,"None"
"ATP6V1G1",0.0502004571930939,8.46059871170685,0.177437928589388,0.676479752848679,"None"
"ARPC5L",0.0913280780138776,8.67297512767623,0.543816109380632,0.46638001624573,"None"
"TLN1",0.0281305865669716,9.20683804831571,0.0944595165006718,0.76063008157764,"None"
"FGFBP2",0.911885925571065,10.8239161245237,18.1677925349913,0.000252680540073098,"Up"
"ACTR2",0.0349288469854141,8.79778021054322,0.208405998795197,0.725925074900701,"None"
"STAT4",0.103558122218169,8.37796943764683,0.747343497449531,0.393933909099651,"None"
"HNRNPD",-0.233584235571172,8.34371526677721,4.32629724963336,0.109279445530083,"None"
"SCAF11",-0.00158529126602349,8.07713817305158,0.000329750096933174,0.989044940640373,"None"
"ITGB7",0.690347104748331,8.30028166996638,34.2694956894492,1.83434044273269e-06,"Up"
"TMBIM6",0.0285559423633529,9.12547575143201,0.0927385012848735,0.76275151387539,"None"
"SERF2",-0.0075024766746496,10.9878201270614,0.0135654473561458,0.908027858899154,"None"
"SRP14",-0.0864762070520236,9.80750671188684,1.48693530061493,0.550746827916637,"None"
"MCTP2",-0.185325948990691,8.51947783877767,2.14948813440909,0.152650490148895,"None"
"IQGAP1",0.0498813447471223,9.33562793829648,0.293570339026185,0.591800433146535,"None"
"TCF25",-0.13144744322244,8.55083352238508,1.47297081385919,0.355365191721565,"None"
"SKAP1",0.0815248168568981,9.22282080151164,0.617002529450891,0.438103494449486,"None"
"ARHGDIA",-0.0213491387084377,8.69196473131106,0.0348707003866426,0.853078983351904,"None"
"TXNL4A",0.267752975294229,7.9363432581962,9.43755699146925,0.0218439196643455,"None"
"EMP3",0.241098314554708,10.0122480743184,3.45780015481205,0.0724812366824128,"None"
"MYO1F",0.173961888481353,8.57712156098779,2.11858703820373,0.155535853633814,"None"
"EFHD2",0.248877324725314,10.7170444163619,6.51584501913545,0.0158152374635139,"None"
"SH3BGRL3",0.178201364492655,11.44812962102,5.37058179522305,0.0272248838038719,"None"
"SYTL1",-0.0973702923599105,8.473901621933,0.770049320548321,0.386926742424021,"None"
"SERBP1",-0.194040171635507,8.55129348549757,3.73302748141986,0.0952085080178615,"None"
"C1orf162",-0.122015566115198,8.53431494588335,1.29502998403585,0.318727234901982,"None"
"CD53",0.126219061155226,9.523072072728,2.94535950366455,0.0960655267540112,"None"
"TPM3",0.00993827122006875,10.0737679520651,0.0158351218486019,0.900669923877054,"None"
"SRP9",-0.123064469866496,8.1869969163737,1.76710646502501,0.207036078627536,"None"
"ARF1",-0.0765793177777797,8.92488582665482,0.627995663181541,0.51351935065201,"None"
"GUK1",-0.107078871830247,8.95310914715265,1.86011038155074,0.363527053501072,"None"
"CALM2",-0.108240473961446,9.00845288008319,1.15938218504854,0.315748295224964,"None"
"ARL6IP5",0.366569881741913,9.0175472093191,19.8520775615468,0.000100851824789054,"Up"
"PLAC8",-0.134822714444291,9.18945193751104,2.1543562103552,0.245222046542934,"None"
"GZMA",0.123303231508552,11.1825092999826,2.35060444560163,0.135339420679989,"None"
