"","logFC","logCPM","F","PValue","Group"
"TOMM22",0.328879986127354,7.60536364295493,12.306460139416,0.00118840666774218,"Up"
"XBP1",-0.485260346485793,7.97406469171075,24.633176855182,1.52642382791359e-05,"Down"
"FBXO7",-0.184098694815204,7.1515344950447,4.11686469876054,0.0495854665152408,"None"
"SUN2",-0.021707154896224,9.32995165357705,0.0493398215514867,0.825418754681976,"None"
"TSPO",-0.137055152884218,8.05230380228297,2.22958743222423,0.143738725615659,"None"
"MYH9",-0.281197031974018,9.38657520565774,12.3420438290779,0.00117151274931631,"Down"
"GRAP2",0.302443992499231,7.52692824276918,3.59245378914724,0.0666292303900639,"None"
"EIF3D",0.366942634311058,8.21215728373927,6.87780777441217,0.0129467010589623,"Up"
"TNRC6B",0.2840356061332,8.06828366935738,11.9999678815939,0.00134509011879674,"Up"
"ST13",0.741297562797968,9.01978898089519,99.0873652042732,4.37971983626374e-12,"Up"
"RBX1",-0.171329015837782,7.54446803305493,2.17220866635841,0.148852047915472,"None"
"SDR39U1",0.397848796243554,6.87591689117623,11.2278863568209,0.00184546784282268,"Up"
"GZMH",-9.37851371805766,9.02723201826337,190.927682743834,1.83491299520717e-14,"Down"
"NIN",0.0403458151877055,7.69051602292144,0.158125770291953,0.693137743027781,"None"
"CNIH1",0.26296095266951,6.94798705448056,6.35319106276348,0.016086574641459,"Up"
"RIN3",0.648372328259307,7.22242484292184,32.2251270839166,1.63740917854454e-06,"Up"
"SNW1",-0.120447200182225,6.9702172461716,1.2660705775775,0.267640132213991,"None"
"DHRS7",-0.627312015521439,8.04915270035152,25.2395193304981,1.29921335036865e-05,"Down"
"ERH",-0.188561938878054,7.94116758405334,3.74942729727103,0.0603727255040752,"None"
"SRSF5",0.443036727952849,9.84408555463748,16.2552411565333,0.000280445311575124,"Up"
"EIF5",-0.0830254909652287,8.14000832977858,1.54554361228944,0.221494705220328,"None"
"YY1",-0.0543665351488506,7.88806903460866,0.422759634412341,0.519518455582579,"None"
"ACIN1",-0.0661797738363463,7.32617746759195,0.45935001473765,0.925945727103365,"None"
"PABPN1",0.0321350554197331,8.47172746026616,0.250272844649886,0.769307539964393,"None"
"PSMA6",-0.339299748287824,7.75743267629492,13.1877478343605,0.00083665362006826,"Down"
