,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
C16orf95,3.188452981,NA,NA,NA
C1orf112,NA,NA,-1.95875925,NA
C1orf162,NA,NA,-2.007814483,-0.27616646
C1orf21,NA,NA,-3.052934171,NA
C21orf91,1.040820836,NA,NA,NA
C3orf38,-1.59937177,NA,NA,NA
C6orf120,-2.540863126,NA,NA,NA
C9orf85,NA,NA,-1.352394494,NA
CA11,NA,-5.961470278,NA,NA
CAB39,-1.319576898,NA,NA,NA
CACFD1,-6.123832511,NA,NA,NA
CACNA2D4,NA,NA,2.229928818,NA
CACUL1,NA,-1.572473397,NA,NA
CALCOCO1,0.958138073,NA,-1.367597095,NA
CALCOCO2,NA,-1.066902035,NA,NA
CALHM2,-6.631628636,-2.184099096,NA,NA
CALR,1.59130495,-0.448044702,NA,NA
CALU,1.912443951,NA,NA,NA
CAMK1D,-1.490755316,NA,NA,NA
CAND1,1.028250674,NA,-0.705648529,NA
CAPG,NA,NA,NA,-4.049490371
CAPN12,NA,NA,1.177073226,-0.949423518
CAPN15,-2.476581813,NA,NA,NA
CAPRIN2,NA,-2.193865442,NA,NA
CARD11,-1.185056597,NA,NA,NA
CARHSP1,NA,NA,-1.079986354,-0.491536131
CARM1,NA,NA,-1.138101337,NA
CARS1,NA,-1.942476631,-1.04251232,NA
CASK,NA,NA,NA,-3.143376976
CASP3,1.516250151,NA,NA,NA
CASP6,NA,NA,-1.314207942,NA
CATSPERB,NA,NA,1.541405957,NA
CBWD5,NA,NA,-1.414669371,NA
CCDC107,-1.212188648,NA,0.714334585,NA
CCDC124,NA,-2.294274857,NA,NA
CCDC146,-6.116797706,NA,NA,NA
CCDC159,-6.515402566,-6.782732491,NA,NA
CCDC24,1.903846966,NA,NA,NA
CCDC57,NA,-1.030831293,NA,-0.490724049
CCDC71L,-7.14142082,NA,NA,NA
CCDC77,-5.81534982,NA,NA,NA
CCDC86,NA,-6.08061642,NA,NA
CCDC88B,NA,-1.37574005,NA,NA
CCDC88C,NA,-1.217796825,-0.453290335,NA
CCDC92,-1.313539341,NA,NA,0.440432432
CCM2,NA,-1.174671724,-0.611591342,NA
CCNC,1.041054891,NA,NA,NA
CCNK,NA,-1.019854583,NA,NA
CCR10,2.579271192,NA,NA,NA
CCR2,NA,NA,2.889553375,NA
CCR5,NA,NA,2.091081432,NA
CCR6,NA,NA,3.380359473,NA
CCR7,NA,NA,-2.460238115,NA
CD247,-6.467332552,-0.502634833,NA,0.257587642
CD2BP2,NA,-1.326806157,NA,NA
CD3E,NA,-0.386032757,-0.250301809,-1.962091191
CD3G,NA,-0.350285974,-0.607370603,1.148982315
CD40,-1.83939433,NA,NA,NA
CD40LG,NA,-0.686697177,2.515608632,NA
CD5,NA,-0.59026909,-1.196750206,NA
CD59,NA,-1.599329745,NA,NA
CD82,NA,-1.56817777,NA,NA
CD84,NA,NA,-1.008545765,NA
CD8A,NA,NA,-1.48069293,NA
CD8B,NA,NA,-3.168265618,NA
CDC14A,-7.124928145,NA,NA,NA
CDC20,3.60228781,NA,NA,NA
CDC5L,NA,-1.835640119,NA,NA
CDC73,-1.096665835,NA,NA,NA
CDCA4,NA,NA,-1.008649526,NA
CDIN1,-5.935078275,NA,NA,NA
CDIP1,NA,NA,-1.360189484,-0.502396063
CDK13,-1.085216863,NA,NA,-0.3809115
CDK16,NA,-2.553242075,NA,NA
