,B_LOMGlow_2,CD4T_EOMGlow_3,CD8T_LOMGlow_2,NK_EOMGlow_1
RFX7,-1.395698097,NA,NA,NA
RGCC,NA,NA,-1.155878552,NA
RGS10,NA,NA,-1.22027732,NA
RGS16,2.975962147,NA,NA,NA
RGS2,NA,NA,1.373948158,NA
RGS3,NA,-6.131049542,NA,NA
RHBDD1,NA,-1.759090883,NA,NA
RHBDF2,-0.840802129,-5.811881408,NA,-0.443196186
RHNO1,-2.154523193,NA,NA,NA
RHOH,NA,NA,-1.025927723,NA
RHOT2,-1.782914579,NA,NA,NA
RIC3,NA,NA,-3.868093408,NA
RILPL2,NA,NA,-1.258172812,NA
RIMKLB,NA,-5.903668509,NA,NA
RIN3,NA,NA,-1.025877925,NA
RINL,-1.590956704,NA,-0.722777321,NA
RIOK3,NA,-1.009230128,NA,NA
RITA1,NA,-6.454976221,NA,NA
RNASEH1,1.128140148,NA,NA,NA
RNASEH2B,-1.498957652,NA,-1.344158831,NA
RNF11,NA,-1.116448117,NA,NA
RNF111,-1.122745403,NA,NA,NA
RNF115,NA,-2.168056145,NA,NA
RNF121,NA,-6.209159041,NA,NA
RNF123,NA,-7.082270314,NA,NA
RNF138,-1.986496867,NA,-0.75393242,NA
RNF141,-1.166980346,NA,-1.146511722,NA
RNF145,-1.184030933,NA,NA,NA
RNF214,NA,NA,-1.262447693,NA
RNF38,-1.240733121,NA,-0.623370403,NA
RNF40,1.050904114,NA,NA,NA
RNF44,-1.851985161,-1.071312423,NA,NA
RNGTT,-1.153899222,-1.31917152,-1.061669074,NA
RNPEPL1,-1.18262169,NA,-0.46974814,NA
ROGDI,NA,-6.488599348,NA,NA
RORC,NA,NA,3.977539785,NA
RP2,-2.278553838,NA,NA,NA
RPF1,-1.929633665,NA,NA,NA
RPN1,1.33504218,NA,NA,NA
RPN2,1.311735158,NA,NA,NA
RPP30,NA,-1.556955161,NA,NA
RPRD1A,-1.390528094,-1.443937348,NA,NA
RPS6KA5,-1.314810996,NA,NA,NA
RPS6KB1,NA,NA,-1.051973661,NA
RPS6KB2,NA,-1.689410256,NA,NA
RPUSD1,NA,-1.627652388,NA,NA
RPUSD3,-1.408853269,NA,NA,NA
RRAGD,NA,-6.258428552,NA,NA
RSAD1,NA,-1.491204732,NA,NA
RSBN1,-1.374426773,NA,NA,-0.40445395
RSRC2,-0.906580372,-1.289838263,NA,-0.36813454
RUFY2,1.306614536,NA,NA,NA
RUFY3,NA,-2.115710505,NA,NA
RUNX2,NA,NA,1.04821464,NA
RUSC1,-5.870978482,NA,NA,NA
RWDD4,NA,NA,-1.245318654,NA
S100A11,-1.5829802,-1.186973101,NA,NA
S100A4,NA,-1.073019755,0.280509145,0.471108487
S100PBP,NA,-2.014902748,NA,-0.606545251
S1PR1,-1.10519982,-0.657260918,NA,NA
SACS,NA,NA,-1.157275455,NA
SAE1,NA,-1.217311344,NA,-0.445764045
SAMD4A,-5.872718494,NA,NA,NA
SAMSN1,NA,NA,-1.095426857,NA
SAP30L,NA,-1.721343076,NA,NA
SAR1A,1.295089691,NA,NA,NA
SAR1B,1.106693462,NA,NA,NA
SAT2,-1.580182454,NA,NA,NA
SCAF1,NA,-2.926416121,NA,NA
SCCPDH,NA,-5.97794571,NA,NA
SCFD1,1.194942778,NA,NA,NA
SCIMP,-3.065958529,NA,NA,NA
SCLT1,-1.295033619,-1.319918722,NA,NA
SCML4,NA,-0.858610849,-1.056622897,NA
SCO2,NA,-6.491711848,NA,NA
SCPEP1,NA,-6.694807709,-1.468977427,NA
SDF2L1,2.099933737,NA,NA,NA
SEC11C,1.669508903,-1.063577836,NA,NA
SEC13,1.075601928,NA,NA,NA
SEC22C,-2.345823495,NA,NA,NA
SEC24A,NA,-6.54078137,NA,NA
SEC24D,2.090385183,NA,NA,NA
SEC61A1,1.343555631,-1.14064087,0.601366473,NA
SEC61B,1.461410445,-0.453581588,NA,NA
SEC61G,1.556824485,-0.449651537,NA,NA
SELL,-1.092895741,NA,-1.947947089,-2.473312461
SELPLG,1.781869939,NA,-0.353372937,0.262185364
SEMA4A,2.318818865,NA,NA,NA
SEMA4B,-1.560050443,NA,NA,NA
SENP1,-2.127546857,NA,NA,NA
SEPTIN11,NA,NA,-1.519163346,NA
SERGEF,-2.698096946,NA,NA,NA
SERINC5,NA,NA,-2.163868238,NA
SERPINB6,NA,-1.178841947,-0.983683115,NA
SERTAD2,NA,-1.483835355,NA,NA
SESN3,-1.583851193,NA,-1.506367327,NA
SETBP1,-1.045253327,NA,NA,NA
SETD4,NA,-6.120322013,NA,NA
SF3A3,NA,-1.060313508,NA,NA
SFI1,NA,NA,-1.190175232,NA
SFMBT1,-2.078486851,NA,NA,NA
SFXN1,NA,NA,-1.144284567,NA
SFXN4,NA,1.356519873,NA,NA
SGCD,NA,NA,-4.305764949,NA
SGMS1,NA,-1.400448528,NA,NA
SH2B1,-1.963727956,NA,NA,NA
SH2D3C,-1.2702417,NA,NA,-0.504457629
SH3BP2,-2.40290533,NA,NA,NA
SHCBP1,2.460459468,NA,NA,NA
SHKBP1,-0.689496932,-1.039837059,NA,NA
SHQ1,-6.167267456,NA,NA,NA
SIAH1,NA,NA,-1.426010172,NA
SIDT1,NA,NA,-1.128702211,NA
SIKE1,NA,-1.419881283,NA,NA
SIPA1,-1.689414762,NA,NA,-0.338739306
SIPA1L1,-1.42731937,NA,0.71629045,NA
SIPA1L3,NA,NA,-1.360917454,NA
SIT1,NA,-1.385285652,NA,NA
SKAP2,NA,-6.332749669,NA,-0.792670584
SKIL,-1.669888582,NA,NA,-0.78782073
SLA2,NA,NA,-1.194377617,NA
SLAMF1,NA,NA,1.295767892,NA
SLC11A2,NA,-6.167389965,NA,NA
SLC12A6,NA,NA,-1.613586667,NA
SLC15A3,-6.715060172,NA,NA,NA
SLC16A3,NA,NA,1.11887952,NA
SLC18B1,-6.014649571,NA,NA,NA
SLC1A7,NA,NA,NA,1.171718064
SLC25A13,NA,NA,-1.564662977,NA
SLC25A23,NA,NA,-1.285285381,NA
SLC25A24,NA,-2.921575612,-0.768608453,NA
SLC25A25,NA,NA,-1.45520628,NA
SLC25A4,1.19949999,NA,-1.143823431,NA
SLC25A40,NA,NA,-1.385029462,NA
SLC25A43,-6.54717618,NA,NA,NA
SLC25A51,NA,-1.651058561,NA,NA
SLC30A5,NA,-1.630176006,-0.792540892,NA
SLC30A7,NA,-2.316698798,NA,NA
SLC31A1,3.114736298,NA,NA,NA
SLC35A1,NA,-2.633215438,NA,NA
SLC35A4,NA,NA,-1.047104876,NA
SLC35B1,1.70830086,NA,NA,NA
SLC35B2,NA,-7.318754445,NA,NA
SLC35B3,NA,NA,-1.082609775,NA
SLC35E3,NA,-6.470084852,NA,NA
SLC38A5,1.829295181,NA,NA,NA
SLC39A3,NA,NA,-1.048127167,NA
SLC39A4,1.316268749,NA,NA,NA
SLC39A9,1.042102426,NA,0.835910497,NA
SLC44A1,2.400905362,NA,NA,NA
SLC4A10,NA,NA,3.642551654,NA
SLC5A3,NA,NA,-1.125281117,NA
SLC8B1,NA,-1.446371373,NA,NA
SLC9A3R1,1.272337092,NA,-0.447380937,NA
SLC9A7,-1.674298122,NA,NA,NA
SLC9A8,NA,NA,-1.136456018,NA
SLCO3A1,2.285466921,NA,NA,NA
SMAD2,-1.127558965,NA,NA,NA
SMAP2,-1.135664694,NA,-0.64356967,NA
SMARCB1,NA,-1.452892706,-0.838602716,NA
SMC3,NA,NA,-1.088712684,NA
SMC6,-1.002976951,NA,NA,NA
SMG1,NA,-1.129742393,-0.42397345,NA
SMG9,NA,NA,-3.161992478,NA
SMIM15,NA,-1.913205329,NA,NA
SMIM19,NA,-1.078799344,NA,NA
SMIM7,NA,-1.811730535,NA,NA
SMNDC1,NA,-1.303502885,NA,-0.402257344
SMUG1,-6.287071489,NA,NA,NA
SMYD3,-1.252065279,-0.914519242,-0.712320727,-0.313331402
SNAI3,NA,NA,1.184212761,NA
SNED1,-3.561236893,NA,NA,NA
SNRK,-1.676536171,NA,NA,NA
SNRNP27,NA,-1.278997898,NA,NA
SNRNP48,-6.975337128,-1.818033689,NA,NA
SNRPG,0.471628965,-1.088820569,-0.713145631,NA
SNTA1,-6.343726215,NA,1.220100324,NA
SNUPN,NA,-2.924775052,NA,NA
SNURF,NA,1.332638532,NA,NA
SNX10,NA,-2.25607016,NA,NA
SNX18,NA,NA,-2.074694007,NA
SNX27,-2.422754325,-1.896616302,NA,NA
SNX29,-1.388587962,NA,-1.136880819,NA
SOS1,NA,NA,-1.020868998,NA
SP110,-1.084696745,NA,-0.71935935,NA
SPAG9,NA,-1.301225815,NA,NA
SPAST,NA,-2.339201144,NA,NA
SPATA13,NA,NA,-1.012124382,NA
SPATS2,1.752116942,NA,NA,NA
SPATS2L,NA,NA,1.744633997,NA
SPCS1,1.112647551,-0.418670765,NA,NA
SPCS3,1.307139307,NA,0.422907086,NA
SPECC1L,-1.730465433,NA,NA,NA
SPHK2,NA,-6.003373395,NA,NA
SPICE1,NA,1.517551392,NA,NA
SPINT2,NA,-1.235020116,-2.666412846,NA
SPN,2.848019676,NA,NA,NA
SPON2,NA,NA,-1.660947925,0.571186849
SPOP,NA,-1.089279255,NA,NA
SPRING1,NA,-2.175377175,NA,NA
SPTSSB,NA,NA,NA,-6.925003572
SRA1,1.030098222,NA,NA,-0.299325608
SRGN,1.602176767,NA,NA,NA
SRP19,1.224881676,-0.810200017,NA,NA
SRPK1,NA,NA,-1.106688021,NA
SRPRB,1.409082943,NA,0.724601662,NA
SRXN1,NA,NA,-1.836476117,NA
SSBP2,-2.056284977,NA,-1.664985559,-1.7822944
SSR1,1.342045747,NA,NA,NA
SSR3,1.573389827,NA,NA,NA
SSR4,1.271481193,-0.589722955,0.227607282,-0.297429075
ST6GALNAC4,1.062379242,NA,NA,NA
ST6GALNAC6,1.212068265,NA,NA,NA
STAM,NA,-1.731147107,-1.276105469,NA
STAT1,-1.639867148,NA,NA,NA
STAT3,-1.039171033,NA,-0.580451832,NA
STAT5A,NA,-1.053903611,NA,NA
STIM2,-1.128616843,NA,-0.520127632,NA
STK11,NA,NA,-1.47330718,NA
STK24,-1.291374419,NA,NA,NA
STK40,-3.023584398,NA,NA,NA
STMN1,NA,NA,-2.17483523,-1.205521223
STRADB,NA,NA,-2.656132437,NA
STRN,-1.370988797,-2.172148195,NA,NA
STRN4,NA,-2.218700826,NA,NA
STT3A,1.531042104,NA,0.720962001,0.47139455
STT3B,1.048467099,NA,-0.6239378,NA
STX11,NA,-5.933466076,NA,NA
STX2,-6.158963528,NA,-1.186173182,NA
STX6,NA,NA,-1.775928078,NA
STX7,-1.137164338,NA,NA,NA
STXBP5,NA,-1.263925604,NA,NA
STYXL1,NA,NA,-1.491271402,NA
SUB1,1.318166904,-0.368223157,-0.724551395,NA
SUCLG1,NA,-1.845043723,-0.725734101,NA
SUCLG2,-2.462370042,NA,-0.542037398,NA
SULT1A1,NA,NA,-2.139593455,NA
SUMO3,-1.052810285,NA,NA,NA
SURF4,1.094115807,NA,NA,NA
SURF6,-2.778280715,-2.201099403,NA,NA
SUZ12,-1.18956643,-0.689018338,-0.901018634,NA
SWAP70,-1.13431327,NA,NA,NA
SWSAP1,NA,-6.071845394,NA,NA
SYMPK,NA,1.038340671,-0.969918532,NA
SYPL1,-0.972220202,NA,NA,-1.06234859
SYTL2,NA,-2.539504891,1.5139558,NA
TAB2,-1.2834345,NA,-1.609303954,NA
TACC3,NA,NA,-1.18260433,NA
TAF12,NA,-1.171964458,NA,NA
TAF2,NA,-2.789049799,NA,NA
TAF4B,-1.830313565,NA,NA,NA
TAF6,NA,-1.624886004,NA,NA
TAF7,-1.002466729,NA,NA,NA
TAF8,-2.290896635,NA,NA,NA
TAMALIN,-2.800287154,1.269559015,NA,NA
TANGO6,-6.325795663,NA,NA,NA
TARDBP,NA,-1.103832131,NA,NA
TARS2,-2.310601338,NA,NA,NA
TARS3,NA,-1.237428398,NA,NA
TATDN3,-1.921150414,NA,NA,NA
TAX1BP3,-7.313355272,NA,NA,NA
TBC1D10B,NA,-2.444370382,-0.87411592,NA
TBC1D22A,-0.975442717,-1.32921568,-0.562009546,NA
TBC1D25,NA,-6.920789488,NA,NA
TBC1D4,NA,NA,-7.390530037,NA
TBC1D9B,NA,-2.904371426,NA,NA
TBCK,NA,-1.400715689,NA,NA
TBL1X,NA,-1.111451948,NA,NA
TBXAS1,NA,-2.297048594,NA,NA
TCEA3,NA,-1.296816789,NA,NA
TCEAL4,NA,-3.025046553,NA,NA
TCEANC2,-6.373221222,NA,NA,NA
TCF7,-3.228829038,NA,-0.749425916,-3.578334062
TCOF1,-1.527787705,NA,NA,NA
TDP2,NA,-1.032905576,NA,NA
TEP1,-2.341442461,NA,NA,NA
TERF1,NA,-1.452396636,NA,NA
TERF2,-1.358386751,-1.642281403,-0.813561371,NA
TES,-1.082265568,NA,-0.443915784,NA
TESC,NA,NA,-7.087989887,NA
TESPA1,NA,NA,-1.652106463,NA
TEX10,1.076077091,NA,NA,NA
TEX14,NA,NA,1.48512611,NA
TEX2,NA,-6.037281816,NA,NA
TEX264,NA,-2.207748326,NA,NA
TFEB,-1.259898513,NA,NA,NA
TFEC,-2.61103532,NA,NA,NA
TFIP11,NA,NA,-1.30362131,NA
TGIF2,-1.394398324,NA,NA,NA
THOC6,NA,-1.915669548,-0.960632575,NA
TIA1,-2.277352309,NA,NA,NA
TIAM2,NA,-5.872264155,NA,NA
TIGD1,NA,1.5994193,NA,NA
TIGIT,NA,NA,-2.199407973,NA
TIMM23,1.210664224,NA,NA,NA
TIMM44,NA,-2.51819101,NA,NA
TIMM8B,1.412560985,NA,NA,NA
TIMP1,NA,-1.15588061,NA,NA
TIPARP,1.299386549,NA,NA,NA
TLE1,NA,NA,2.731197391,NA
TLE2,NA,NA,1.503190102,NA
TLE3,NA,NA,-1.698413868,NA
TLR1,-7.117501841,NA,NA,NA
TLR10,-2.424059295,NA,NA,NA
TM9SF1,NA,-2.305387713,NA,NA
TMCC3,-5.76865691,NA,NA,NA
TMCO6,NA,-7.006134442,NA,NA
TMED2,1.037103307,NA,NA,NA
TMED8,-1.534808005,-6.131166063,NA,NA
TMEM106C,NA,-2.028058141,NA,NA
TMEM115,-6.625839534,NA,NA,NA
TMEM116,NA,-1.802730747,NA,NA
TMEM120B,NA,-2.55365365,NA,NA
TMEM127,NA,-1.674769479,NA,NA
TMEM131,-1.036895552,NA,NA,NA
TMEM14A,NA,NA,-2.122605904,NA
TMEM160,NA,-1.418538701,NA,NA
TMEM175,NA,NA,-1.421684955,NA
TMEM199,NA,-2.273750581,NA,NA
TMEM205,NA,-1.620937288,NA,NA
TMEM208,1.520950851,NA,NA,NA
TMEM245,-6.645457937,NA,NA,NA
TMEM258,1.309234184,-0.447326405,NA,NA
TMEM33,1.068030493,NA,NA,NA
TMEM38B,-2.883589576,NA,NA,NA
TMEM39A,1.79193262,NA,NA,NA
TMEM41B,NA,NA,-1.739897754,NA
TMEM64,-6.573187795,NA,NA,NA
TMEM9B,NA,-1.0870193,NA,0.33575828
TMIGD2,NA,NA,1.889478084,NA
TMOD2,-6.577075683,-6.52315996,NA,NA
TMSB10,NA,-0.376521508,-1.165521459,NA
TMX3,1.057755957,NA,NA,NA
TMX4,NA,-1.272996275,NA,NA
TNFRSF25,NA,NA,1.742872296,NA
TNIP2,-1.903538976,NA,-0.83777522,NA
TNPO3,NA,-1.321273024,NA,NA
TOLLIP,NA,NA,-1.424216798,NA
TOMM40,NA,-1.142140349,NA,-0.761856137
TOR2A,-6.735869171,-2.103321317,NA,NA
TOR3A,NA,-2.763543852,NA,NA
TP53,NA,NA,-1.425277581,NA
TP53I11,NA,NA,1.032660225,NA
TP53I13,-2.006564379,NA,NA,NA
TPD52L2,1.28429837,NA,NA,NA
TPRG1,NA,NA,-2.180896223,NA
TRABD2A,NA,NA,-1.968458353,NA
TRAF3IP2,NA,NA,1.450819304,NA
TRAF6,-2.700245807,NA,-0.947957672,NA
TRAF7,NA,-1.876090216,NA,NA
TRAM1,1.179151467,NA,NA,NA
TRAPPC12,-1.5553787,NA,NA,NA
TRAPPC2L,NA,-1.198332026,NA,NA
TRIM69,NA,-1.768663744,NA,NA
TRIQK,2.51387204,NA,NA,NA
TRMT10C,-1.372255301,NA,NA,NA
TRMT2A,NA,-1.451996575,-1.145978275,-0.785825663
TRMT44,NA,-5.994708913,NA,NA
TRMT61B,-2.303143164,NA,NA,NA
TRNAU1AP,NA,-1.475727245,NA,NA
TRPS1,NA,NA,-1.650751341,NA
TRUB1,NA,-6.22569921,NA,NA
TSC22D4,-1.290219608,-0.541269686,NA,NA
TSEN34,NA,-1.633442355,NA,NA
TSN,NA,-1.545895105,NA,-0.47360262
TSNARE1,-6.129014156,NA,NA,NA
TSPAN18,NA,-1.735298908,NA,NA
TSPAN2,NA,NA,-3.591557819,NA
TSPAN32,NA,-2.765499857,NA,NA
TSPAN33,-1.677569366,NA,NA,NA
TSSC4,NA,-1.17930123,NA,NA
TSTD2,-2.170598324,NA,NA,NA
TTC17,-1.09180531,NA,NA,NA
TTC21B,-2.276127383,NA,NA,NA
TTC37,NA,-1.300202365,NA,NA
TTC38,NA,NA,-2.16998608,0.440807627
TTF1,NA,-2.813431285,NA,NA
TTF2,NA,NA,-1.664515167,NA
TTLL1,NA,-6.340622525,NA,NA
TTLL5,NA,NA,-1.51905586,NA
TTN,NA,NA,-2.415824451,NA
TUBA4A,-1.433296314,NA,-0.740536647,NA
TUBE1,NA,-2.451154299,NA,NA
TUBG1,NA,-5.842693966,NA,NA
TUG1,NA,-1.406660666,NA,NA
TUSC2,NA,-1.455057332,NA,NA
TUT1,-2.188171814,NA,NA,NA
TVP23C,2.09256603,NA,NA,NA
TWF1,-2.108319803,NA,NA,NA
TXNDC11,1.49799475,NA,NA,NA
TXNDC12,NA,-1.264012971,NA,NA
TXNDC5,NA,NA,1.037531677,NA
TXNRD1,NA,-2.496354279,NA,NA
UBA7,-1.524185956,NA,NA,NA
UBAP2,NA,-2.516235253,NA,NA
UBE2F,NA,-1.167143144,NA,NA
UBE2H,NA,-2.240547878,NA,NA
UBE2J1,1.006939848,NA,NA,NA
UBE2J2,NA,-1.017970975,NA,NA
UBE2M,NA,-1.087852431,NA,NA
UBQLN2,-1.146054943,NA,NA,NA
UBR2,NA,-1.338592484,NA,NA
UBXN7,NA,NA,-1.060071148,NA
UCHL5,0.800596958,-1.156675199,-0.885472103,NA
UFSP2,NA,-1.685764233,NA,NA
UGCG,-1.406702476,NA,NA,NA
UGDH,1.577778463,NA,NA,NA
UGP2,-1.227678957,NA,-0.833587335,NA
UHRF1BP1L,NA,NA,-1.019095527,NA
ULK3,-2.89781378,-1.007612678,-1.090612583,NA
UNC93B1,-1.236559249,NA,NA,NA
UNKL,NA,-6.331753443,NA,NA
UPF3B,NA,-3.153703648,NA,-0.454517765
UPRT,NA,-6.673849667,NA,NA
UROD,NA,-1.383097439,-0.768136469,NA
USE1,NA,-1.314447387,-1.095955571,NA
USF1,NA,-2.612304263,NA,NA
USP1,-1.376652161,-1.736565771,NA,NA
USP13,NA,NA,1.253318698,NA
USP16,NA,-2.31986319,-0.488900763,NA
USP22,NA,-1.010564287,NA,NA
USP24,-1.526322474,NA,-1.024854933,NA
USP32,NA,-2.280050438,NA,NA
USP33,-1.334082131,NA,NA,NA
USP48,0.677102898,-2.022680512,-0.570202583,NA
USP5,NA,-1.675675862,NA,NA
USP9X,-1.020457754,NA,NA,NA
USPL1,-2.313919179,NA,NA,NA
UST,-2.079695885,NA,NA,NA
UTRN,-1.120789934,NA,NA,NA
UVRAG,-1.031559266,NA,NA,0.306076776
UVSSA,NA,1.52783199,NA,NA
VAMP5,1.291718097,NA,NA,NA
VARS2,-5.901738418,NA,NA,NA
VAT1,NA,NA,-1.038517962,NA
VAV3,NA,NA,-1.473483261,NA
VEGFB,-1.025120942,-0.861764018,NA,NA
VILL,-6.197519814,NA,NA,NA
VNN2,-2.459701651,NA,NA,NA
VPS26B,NA,-1.202682322,-0.707784234,NA
VPS54,NA,-2.290689714,NA,NA
VPS72,-1.209186856,-1.298841233,NA,NA
VSIG1,NA,-1.15936504,NA,NA
VWA5A,2.688464071,NA,NA,NA
WDPCP,-1.528591156,NA,-0.963254983,NA
WDR36,-1.449845608,NA,NA,NA
WDR47,NA,1.448783537,NA,NA
WDR59,NA,NA,1.205880358,NA
WDR6,NA,-1.101514491,NA,NA
WDR76,NA,NA,-1.662455067,NA
WDR82,NA,-1.075438958,NA,NA
WDR91,NA,-6.167790909,NA,NA
WDTC1,NA,NA,-1.130645848,NA
WIPI2,NA,-1.139113781,NA,NA
WSB2,NA,-2.484913411,NA,NA
XAF1,-1.954462709,NA,NA,NA
XBP1,1.791696303,NA,0.883846638,NA
XCL1,NA,NA,NA,-2.430148086
XCL2,NA,NA,-2.757221129,-1.728491649
XPC,-1.194842123,NA,NA,NA
XPO1,-1.044916382,NA,-0.629427969,NA
XPO5,NA,-6.214484383,NA,NA
XPO6,-3.193541956,NA,-0.712573645,NA
XPO7,NA,-2.613816258,NA,NA
XYLT1,NA,NA,-1.29794991,NA
YBX3,NA,NA,-4.582647924,NA
YIF1B,1.248520566,NA,NA,NA
YIPF2,1.748440612,NA,NA,NA
YKT6,NA,-2.570982992,NA,NA
YPEL1,-6.099560684,NA,NA,NA
YPEL2,NA,-2.258207223,NA,NA
YTHDC1,-1.10726207,NA,NA,NA
YWHAE,0.797136042,-1.355632365,-0.797983796,NA
YWHAH,NA,-1.574770715,0.827428751,-0.539551469
ZBED5,NA,-1.448232855,NA,NA
ZBP1,1.284737606,1.226712871,-1.713122228,NA
ZBTB16,NA,NA,3.040838372,NA
ZC3H11A,NA,-2.15277631,NA,NA
ZC3H12D,-2.263084527,NA,NA,NA
ZC3H18,NA,-1.896763085,-0.737553656,NA
ZC3H6,NA,-1.067398848,NA,NA
ZC4H2,NA,-2.321956858,NA,NA
ZCCHC3,NA,-2.149595214,NA,NA
ZDBF2,NA,NA,1.185301613,NA
ZDHHC16,1.820147032,NA,NA,NA
ZDHHC2,NA,-1.73886206,NA,NA
ZEB1,NA,NA,NA,-2.398484802
ZEB2,NA,NA,-2.085231037,0.465170129
ZFAND2B,NA,-1.017339862,NA,NA
ZFAND3,-1.125284109,NA,NA,NA
ZFAND4,NA,-6.510238634,NA,NA
ZFP36L1,-0.732471821,-1.090366988,0.385736846,NA
ZFP64,NA,-6.549227426,NA,NA
ZFTRAF1,-3.068627611,NA,NA,NA
ZFYVE27,-7.331340208,NA,NA,NA
ZHX2,-1.740248976,NA,NA,NA
ZMAT1,-1.648808487,NA,NA,NA
ZMPSTE24,NA,-2.798594194,NA,NA
ZMYM1,-6.14014615,NA,-1.6240776,NA
ZMYM6,-1.646943171,NA,NA,NA
ZNF101,NA,-1.762320835,NA,NA
ZNF107,-1.000180911,NA,NA,NA
ZNF12,NA,-2.681658726,NA,NA
ZNF136,-6.587234071,NA,NA,NA
ZNF142,1.324038152,NA,NA,NA
ZNF189,NA,-6.354045704,NA,NA
ZNF195,NA,-1.882309859,NA,NA
ZNF232,-5.884031628,NA,NA,NA
ZNF235,-6.286383837,NA,-1.514421531,NA
ZNF248,-6.562870151,NA,NA,NA
ZNF254,NA,-6.403000341,NA,NA
ZNF260,NA,-6.13691427,NA,NA
ZNF264,-6.439504539,NA,NA,NA
ZNF274,-2.664123013,NA,NA,NA
ZNF280D,-1.287877934,NA,NA,NA
ZNF3,-6.382037342,NA,NA,NA
ZNF335,NA,NA,-1.006263615,NA
ZNF346,-6.590999081,NA,NA,NA
ZNF37A,-1.447536702,NA,NA,NA
ZNF395,-2.575053752,NA,NA,NA
ZNF407,-1.769955864,NA,NA,NA
ZNF408,NA,-6.067886828,NA,NA
ZNF410,-2.414331667,NA,NA,NA
ZNF420,-6.228192445,NA,NA,NA
ZNF429,-2.298824027,NA,NA,NA
ZNF431,-1.211041665,NA,NA,NA
ZNF44,-6.546033941,NA,-1.456521128,NA
ZNF441,-5.803419404,NA,NA,NA
ZNF445,NA,NA,-1.795376338,NA
ZNF480,-2.665021386,NA,NA,NA
ZNF490,NA,NA,-1.027105243,NA
ZNF518B,NA,-2.587459982,NA,NA
ZNF564,NA,NA,-1.415069816,NA
ZNF566,NA,-6.198727814,NA,NA
ZNF574,NA,-6.813728643,NA,NA
ZNF583,NA,-5.860059763,NA,NA
ZNF585A,-1.843920563,NA,NA,NA
ZNF587B,-5.775939837,NA,NA,NA
ZNF626,NA,-2.675614154,NA,NA
ZNF644,-1.188833481,NA,NA,NA
ZNF649,NA,-6.000271798,NA,NA
ZNF669,-6.702624077,NA,NA,NA
ZNF671,NA,-6.080046146,NA,NA
ZNF699,NA,-2.110091423,NA,NA
ZNF71,NA,-6.124980441,NA,NA
ZNF740,NA,NA,-1.863818535,NA
ZNF766,NA,NA,-1.284583006,NA
ZNF768,-6.121654323,NA,NA,NA
ZNF787,-1.475553436,NA,NA,-0.624725487
ZNF821,-1.542842382,NA,NA,NA
ZNF827,NA,NA,-2.647646704,NA
ZNF839,NA,-6.580392956,NA,NA
ZNF84,NA,-7.511369557,NA,NA
ZNF846,-5.808292754,NA,NA,NA
ZNF852,NA,-2.163972988,NA,NA
ZNF93,NA,-5.730941149,NA,NA
ZNHIT6,-2.540873162,NA,NA,NA
ZRANB3,NA,NA,-1.765007304,NA
ZSCAN30,-5.93150054,NA,NA,NA
